GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
DAR-Attention	arxiv	arxiv:2606.18587; implement transformer self-attention with distance-adaptive KV capacity: full-dimensional key/value projections for tokens inside a local window and reduced-dimensional key/value projections/cache for older global tokens, with attention over the combined local/global memory.	(B, L) token ids or (B, L, d_model) embeddings	int64 or float32	distance-adaptive representation attention	language/sequence modeling	2026-06-17	Distinct primitive: attention allocates representational dimensionality as a function of token distance, not uniformly by layer/head/token; local tokens keep full KV width while global history is stored and attended in reduced-width KV memory. Grep-verified absent via Dual Dimensionality, Distance-Adaptive Representation, DAR, distance adaptive representation, local and global attention, dual dimensionality attention, and 2606.18587.
AceStepTransformer1DModel	diffusers	diffusers.models.AceStepTransformer1DModel(hidden_size=8, intermediate_size=8, num_hidden_layers=1, num_attention_heads=1, num_key_value_heads=1, head_dim=8, in_channels=4, audio_acoustic_hidden_dim=8, patch_size=8, encoder_hidden_size=8)	(1, channels, length) / see constructor notes	float32	acestep audio dit	audio/generative	2022-2024	diffusers_0.38.0_module=transformers.ace_step_transformer; ctor_verified_tiny_random_init_params=6808
AllegroTransformer3DModel	diffusers	diffusers.models.AllegroTransformer3DModel(patch_size=8, patch_size_t=1, num_attention_heads=1, attention_head_dim=8, in_channels=4, out_channels=4, num_layers=1, cross_attention_dim=8, sample_height=8, sample_width=8, sample_frames=8, caption_channels=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	allegro video dit	video/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_allegro; ctor_verified_tiny_random_init_params=8256
AsymmetricAutoencoderKL	diffusers	diffusers.models.AsymmetricAutoencoderKL(down_block_out_channels=(8,), up_block_out_channels=(8,), norm_num_groups=1, sample_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	autoencoder/vae	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_asym_kl; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AuraFlowTransformer2DModel	diffusers	diffusers.models.AuraFlowTransformer2DModel(sample_size=8, patch_size=8, in_channels=4, num_mmdit_layers=1, num_single_dit_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, caption_projection_dim=8, out_channels=4, pos_embed_max_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	auraflow mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.auraflow_transformer_2d; ctor_verified_tiny_random_init_params=26904
AutoencoderDC	diffusers	diffusers.models.AutoencoderDC(in_channels=4, latent_channels=8, attention_head_dim=8, encoder_block_types='ResBlock', decoder_block_types='ResBlock', encoder_block_out_channels=(8, 8, 8, 8, 8, 8), decoder_block_out_channels=(8, 8, 8, 8, 8, 8), encoder_layers_per_block=(1, 1, 1, 1, 1, 1), decoder_layers_per_block=(1, 1, 1, 1, 1, 1))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	deep-compression autoencoder	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_dc; ctor_verified_tiny_random_init_params=28294
AutoencoderKL	diffusers	diffusers.models.AutoencoderKL(in_channels=4, out_channels=4, down_block_types=('DownEncoderBlock2D',), up_block_types=('UpDecoderBlock2D',), block_out_channels=(8,), layers_per_block=1, latent_channels=8, norm_num_groups=1, sample_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	autoencoder/vae	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl; ctor_verified_tiny_random_init_params=11724
AutoencoderKLAllegro	diffusers	diffusers.models.AutoencoderKLAllegro(in_channels=4, out_channels=4, down_block_types=('AllegroDownBlock3D', 'AllegroDownBlock3D', 'AllegroDownBlock3D', 'AllegroDownBlock3D'), up_block_types=('AllegroUpBlock3D', 'AllegroUpBlock3D', 'AllegroUpBlock3D', 'AllegroUpBlock3D'), block_out_channels=(8, 8, 8, 8), temporal_downsample_blocks=(True, True, False, False), temporal_upsample_blocks=(False, True, True, False), latent_channels=8, layers_per_block=1, norm_num_groups=1, sample_size=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	allegro video dit	video/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_allegro; ctor_verified_tiny_random_init_params=66396
AutoencoderKLCogVideoX	diffusers	diffusers.models.AutoencoderKLCogVideoX(in_channels=4, out_channels=4, down_block_types=('CogVideoXDownBlock3D', 'CogVideoXDownBlock3D', 'CogVideoXDownBlock3D', 'CogVideoXDownBlock3D'), up_block_types=('CogVideoXUpBlock3D', 'CogVideoXUpBlock3D', 'CogVideoXUpBlock3D', 'CogVideoXUpBlock3D'), block_out_channels=(8, 8, 8, 8), latent_channels=8, layers_per_block=1, norm_num_groups=1, sample_height=8, sample_width=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	cogvideox video dit	video/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_cogvideox; ctor_verified_tiny_random_init_params=69572
AutoencoderKLCosmos	diffusers	diffusers.models.AutoencoderKLCosmos(in_channels=4, out_channels=4, latent_channels=8, encoder_block_out_channels=(8, 8, 8, 8), resolution=8, num_layers=1, patch_size=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	cosmos video dit	video/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_cosmos; ctor_verified_tiny_random_init_params=62035744
